phot_g_mean_mag,bp_rp
17.704046,1.2921181
17.006977,1.2550678
18.310902,1.4019508
17.948853,1.4208851
16.86536,1.2731342
19.236038,1.8299961
19.598597,1.7288342
18.44607,1.5171757
17.589216,1.3121033
16.46248,1.3496599
16.04391,1.3058376
13.485277,1.6111183
18.134405,1.4333801
19.202246,1.6706448
16.7298,1.2541542
18.801914,1.5230217
16.373735,1.2600422
17.737778,1.3397999
16.80684,1.2762604
16.913195,1.2853241
16.5427,1.2704268
16.230629,1.3141365
16.827982,1.2301674
16.790045,1.2798462
16.870487,1.2498875
12.239853,1.7327118
16.928638,1.2769299
16.186907,1.3209162
12.554096,1.6891384
16.320122,1.283596
17.488283,1.2875462
19.190298,1.626049
17.274815,1.2856216
17.111555,1.2389011
13.087413,1.1869259
16.058575,1.1919127
16.518484,1.3033266
16.939636,1.307394
18.251406,1.4366722
17.451195,1.3260479
17.20481,1.3101501
14.468652,1.4887075
19.556038,1.5202961
17.219292,1.2700729
16.632467,1.2606754
13.195702,1.3258047
16.060331,1.4620552
17.839962,1.5528698
17.217285,1.3801804
18.83725,1.795578
18.889647,1.5413227
18.671555,1.2662449
16.529076,1.3523455
17.401772,1.3697395
9.864264,2.3313599
18.670841,1.5827065
18.0367,1.382101
16.140583,1.3086443
16.658428,1.3370857
14.5129,1.5067091
17.178009,0.9508629
17.656265,1.3442364
16.811335,1.3708391
11.189154,1.8677225
17.80568,1.5901585
19.211262,1.5496025
17.48559,1.2836227
13.78396,1.5468512
19.121855,1.6950302
16.261152,1.2568827
16.229902,1.3030806
17.548136,1.3349171
18.077705,1.3321152
16.629665,1.2581539
17.767118,1.3340435
17.095003,1.2167416
18.218948,1.3821259
15.827188,1.4465704
18.79123,
16.003677,1.370327
16.274994,1.2531958
18.056688,
16.752348,1.230423
17.389688,1.2496195
16.683998,1.1615229
17.71012,1.3351288
16.924248,1.2128792
17.899294,1.3312759
15.410263,1.4340887
16.910208,1.2648735
18.542343,
19.080673,
17.048027,1.2348309
17.864716,1.3255138
19.236637,1.6311951
17.291872,1.3495064
17.173075,1.3049355
17.047607,1.3174953
16.278706,1.3534899
18.597378,
14.955804,1.5470839
18.109844,1.2854347
16.136934,1.3254948
17.700066,1.2936459
16.346897,1.2999983
13.113037,0.7914276
13.438954,0.6633606
16.788725,1.521699
17.187542,1.2862606
12.9776325,1.3643055
14.190688,1.5133867
15.987605,1.3411112
16.542416,1.2699242
18.691147,1.224823
15.587715,1.2260551
16.614439,
17.796072,1.362196
16.914295,1.5240307
16.518684,1.2515249
16.620838,1.2537298
16.896008,1.2553902
17.373743,1.2232685
16.513498,1.3040924
18.056067,
,
15.746518,1.4774885
17.434153,1.2966614
13.101751,1.6646109
17.660923,
14.653593,1.4941149
15.615875,1.3683367
17.549833,1.443325
13.338012,0.77041245
17.348415,1.233614
18.168884,1.486557
16.663462,1.290328
16.026594,1.3345556
16.37617,1.2527542
16.691414,1.2360344
18.014458,
17.863651,1.4237709
16.500132,1.2559719
17.9734,
18.257425,1.3845749
15.379552,1.4732885
18.705532,
18.031492,
17.302315,1.2931461
18.382978,
16.282759,
12.810533,1.2753849
13.067752,1.5787001
18.164253,1.3660126
15.913365,1.3299284
17.814991,
17.913067,1.3937874
18.841702,1.5490742
18.223747,1.3865185
18.057375,
17.229553,
16.819033,1.1945362
16.759604,1.219387
16.011332,1.2821407
17.020489,1.2363071
15.7999,1.4106722
15.816527,1.4185114
17.492785,1.3822765
15.955328,1.3455648
