phot_g_mean_mag,bp_rp
19.935394,1.444521
17.57202,0.96866417
17.588705,0.99281883
17.861204,1.0125847
17.33177,1.0254536
17.75703,0.8892975
17.638657,1.0723972
16.777378,0.8309574
18.147343,1.0114098
17.413338,0.90307236
19.434587,
17.742159,
18.233114,
19.44171,0.9916477
18.95342,1.2441425
18.040722,0.95798683
16.1532,0.85900974
18.917274,1.190237
17.895554,0.95729446
16.756487,0.8350277
14.69799,1.0857363
18.52979,1.2133331
18.297386,1.0823593
16.719131,0.8994732
18.306408,1.0410252
17.328693,0.98565674
16.346092,0.863348
16.033182,0.85473347
19.719503,
18.016579,1.0905247
12.211925,1.2781181
16.412731,0.93602085
16.27648,0.92898273
11.091217,1.4049263
17.387833,
16.643478,0.88238525
17.613699,
17.562174,1.1597595
15.517103,1.0180864
18.495663,1.0678387
19.01957,1.2097301
16.415308,0.8798275
15.667927,0.99700356
12.64339,1.2373915
13.679857,1.1624622
13.698429,0.32891273
16.43882,0.9036722
17.128305,0.74184227
15.493658,1.1029329
17.932096,1.0392609
17.721113,0.8687496
17.216944,0.9324589
17.925974,0.9578438
16.59226,
17.168062,0.906868
18.242924,1.046566
19.15989,1.3054695
19.116266,1.0405712
14.639753,1.1132812
17.37542,
15.915015,0.93384933
14.383144,1.1505365
16.069574,0.89119434
14.472627,1.1397667
19.89306,1.3769035
12.193237,1.2874918
18.803955,
18.051096,1.0798302
19.373718,1.2734108
19.614508,1.5330505
17.23938,0.9143276
18.013243,1.0589981
17.334764,0.9424248
16.050213,0.86238575
11.534018,1.3625002
18.296583,1.1004391
18.523064,1.1248894
18.83162,
18.921978,1.3111267
15.920247,0.9094553
12.769588,1.240962
18.70124,1.1601925
17.467562,0.9551029
19.98074,1.4946823
19.305296,1.2464161
19.765509,1.3061638
16.750212,0.8764515
18.693705,1.164156
18.45257,1.0970135
18.716654,1.2490807
18.789083,1.2313938
17.73114,0.98545074
17.686594,0.9751835
16.741243,0.8627262
18.657225,1.1087589
15.5727215,0.99980164
17.37328,0.9236603
13.106641,1.2100086
17.23849,0.9020958
15.777957,0.9378834
16.945461,0.87775993
16.273216,0.86586666
17.303814,0.9256325
15.944991,0.89682865
17.571661,0.9368763
18.526997,1.2080898
16.46798,0.8614855
19.933668,0.73127174
18.340132,1.0807858
18.334206,1.042944
17.257702,0.9146023
15.208975,1.0826492
18.297897,1.0251656
18.531572,1.0755978
18.90373,1.2122955
17.321978,0.91918373
19.803741,
16.685003,0.8501644
15.996128,0.8922205
17.442587,0.94145393
16.29821,0.9147587
17.983053,
18.853024,
17.604462,0.9305153
19.104145,1.2440224
17.412163,0.9574585
18.600712,1.0236225
18.458021,1.3399124
18.888151,
18.220156,
15.864984,0.92156315
18.969393,
15.452613,1.0408449
18.270323,1.1760159
17.334091,0.83823586
17.621859,
17.736412,0.96738434
15.791899,0.8776808
15.791516,0.99666977
12.2491455,1.2815733
13.509338,0.28291607
18.384836,
16.903044,0.8766527
16.873583,0.87437534
13.636872,0.24156284
16.631657,0.93490887
17.428186,0.8731899
16.92481,0.92658615
17.993765,0.96227264
16.30465,0.8524227
19.12245,1.3546906
16.956562,0.9106884
18.332853,1.0613995
18.128565,
17.155708,0.9135189
17.061745,0.928133
16.844315,0.8923359
16.763205,0.85744476
18.649654,
17.297527,0.9269905
18.103107,1.0256653
19.100744,1.1319466
16.908123,0.9130173
17.562862,0.99858093
17.458553,0.9349518
16.881186,0.87571526
18.620546,1.1713848
12.148172,1.3025198
15.502882,1.0333958
17.657776,0.89839363
17.9,1.0029888
16.226566,0.8793192
