phot_g_mean_mag,bp_rp
18.62922,0.7692795
17.797613,0.7887802
18.370224,0.8425751
18.312826,
18.419882,0.83174706
17.561058,0.77573967
19.140427,0.9359417
18.159277,0.83033943
19.904922,-1.3719444
18.39591,
18.573248,0.84135246
17.150295,0.82079315
18.032583,0.8184147
18.178226,0.7730751
17.37992,0.76254463
18.362082,0.84202003
17.83538,0.7674732
17.708685,0.7800865
19.38173,1.0528812
18.589087,0.87327003
18.269524,0.7694359
13.705801,1.2188034
17.505333,0.7879505
13.873709,1.0431881
17.293911,0.777195
17.036575,0.85173035
18.645563,0.93247795
18.784328,0.97260094
19.228937,0.9848442
17.896338,0.79018784
14.309639,1.1613436
17.642006,0.77780724
18.348387,0.80576706
18.248264,0.8647804
17.792469,0.78411293
17.965601,0.7978325
19.657003,1.1217251
17.931494,0.7997837
17.95635,0.80073166
18.852575,
18.499249,
17.875889,0.7913761
19.29335,0.98062706
17.450092,0.77425003
19.267534,0.99347305
19.821405,1.0964775
13.864798,1.0575705
19.46445,1.127058
18.062296,0.8003063
17.571318,0.750021
19.392673,1.0834675
13.85171,1.071228
17.796661,0.81590843
14.753608,1.1107378
18.683186,0.8579159
19.509428,1.0061626
19.50628,1.0859642
17.447725,0.78136444
18.055834,0.8252754
17.85806,0.7964554
17.2404,0.78273773
18.025732,0.8080044
17.660906,0.76263046
15.603906,1.051177
19.659998,1.0762577
17.20252,0.7854004
17.743517,0.7832813
18.636583,0.83496094
18.183096,0.8238964
19.740164,
18.864805,0.91991806
17.430656,0.75123787
16.308039,1.0505953
18.923077,0.899992
17.019533,0.85447884
18.031935,0.7618618
17.215525,0.80311394
18.811136,0.90185165
18.051369,0.8274536
18.154596,0.8257179
18.738121,0.79140854
17.945084,0.78059006
19.6446,1.03648
17.209356,0.7892418
19.246126,1.0516834
19.940092,0.94231796
19.724638,1.1744385
19.644695,1.0726624
18.865715,0.8940506
17.14324,0.8094597
17.806341,0.83268166
19.106256,1.0119553
16.731976,1.0016232
16.443178,1.0480747
17.232265,0.9131565
19.638083,1.0523777
17.60226,0.7657585
19.156199,0.9418411
17.915737,0.8143921
13.88554,1.0638313
19.339022,
19.329338,0.9957733
18.724655,0.91303444
16.99217,0.8648052
18.38239,0.88191795
16.97653,0.8727379
19.617405,1.0116234
17.768145,0.77534676
16.592958,1.0059185
19.151974,1.0152016
18.163364,0.8254452
18.337572,0.8348465
15.989541,1.0376749
19.244682,1.0323963
13.958529,1.1921568
16.327171,1.0198231
17.15205,0.7975426
16.945795,0.95129776
17.984056,0.7952118
18.410261,0.82728577
17.091343,0.81993866
17.603884,0.7647934
19.63119,
18.981115,0.96878815
13.725474,1.0369701
17.201662,0.7957916
18.708344,0.9078083
18.578669,1.0317783
19.495956,0.96720314
17.778751,0.7494545
19.361624,
19.071983,0.92401505
18.071583,0.77791214
18.561821,0.89378166
17.290258,0.79875565
18.55344,0.8239002
17.857632,0.85819817
19.828892,0.92918205
19.536955,1.0975094
16.95134,1.043602
19.379803,1.0341854
17.962505,0.81365013
18.31949,
18.103037,0.7636814
18.215498,0.7941284
16.970015,0.8912277
17.214031,0.8051281
18.003244,0.7677994
17.817602,0.83229446
18.46274,0.7478428
